File: 10_5_20120000.raw
1925.25	934		1925	933	1925	933.515
122.5	1589.5		122.5	1589.5	122.5	1589.57
2311.78	1666.33		2312	1666	2312	1665.84

File: 10_5_20120017.raw
1016	219.5		1016	219	1016	219.752
2122.5	380		2122.5	377.5	2122.5	379.422
918.929	428.071		919	429	919	428.86
1150	491.5		1150	492	1150	491.651
2111.62	779.375		2111.5	777.5	2111.5	778.768
1929.15	934.587		1929	933	1929	934.813
131.5	1597.1		132	1594	132	1596.58
2320	1668.5		2320	1667	2320	1666.42

File: 10_5_20120018.raw
900.5	84.5		900.5	85.5	900.5	83.9256
1018.13	223.43		1018	224	1018	223.326
2123.5	379.5		2123.5	379.5	2123.5	380.644
922.5	431.9		922.5	431.5	922.5	431.753
1706.5	472.5		1707	473	1707	473.473
1152.8	494.8		1152.5	494.5	1152.5	494.22
2114.5	779		2114.5	778.5	2114.5	779.478
2309	829		2309	827	2309	828.99
1758	915		1758	913	1758	914.691
1933.5	936		1933.5	933.5	1933.5	935.743
2325.03	1667.31		2325	1668	2325	1666.99

File: 10_5_20120019.raw
901.786	86.7858		902.5	87.5	902.5	86.5633
1020	227		1020	224	1020	225.985
924.118	434.235		923	435	923	434.851
1157	497		1157	496	1157	496.877
2118	779.875		2118	778	2118	780.017
1761	916		1761	915	1761	915.745
1937.21	936.786		1937	937	1937	937.211
2330.5	1668.5		2330.5	1665.5	2330.5	1666.79

File: 10_5_20120020.raw
905.086	92.2587		906	94	906	91.4631
1023.77	230.308		1024	231	1024	230.246
2129.5	381		2129.5	380.5	2129.5	381.762
928.385	438.538		929	439	929	439.181
1158.95	500.864		1159	500	1159	500.087
2124	779.5		2124	777	2124	779.904
2317.5	828.5		2317.5	826.5	2317.5	828.638
1766.5	918		1766.5	915.5	1766.5	917.354
1943.5	937.5		1943	937	1943	937.393
2338.6	1668.79		2339	1668	2339	1666.71

File: 10_5_20120021.raw
907	97.5		907	98	907	96.9058
1027.56	235.111		1028	235	1028	235.749
2135	382.5		2135	381	2135	382.565
933.5	445.5		933.5	445.5	933.5	445.211
1164	505.25		1164	505	1164	504.743
2129.5	781.5		2129.5	780.5	2129.5	782.186
1950	939		1950	939	1950	939.012
2349.11	1668.63		2349	1669	2349	1669.12

File: 10_5_20120022.raw
910	101		910	102	910	100.633
1030	239		1030	238	1030	239.596
2137.5	381.5		2137.5	381.5	2137.5	382.326
935.794	447.735		935.5	447.5	935.5	447.381
1167	507		1167	508	1167	507.161
2133.5	782		2133.5	778.5	2133.5	781.617
2327	828.5		2327	825	2327	828.835
1953.5	939.5		1953.5	939.5	1953.5	939.409
160.833	1625.5		160.5	1624.5	160.5	1625.95
2355	1670.5		2355	1668	2355	1669.84

